codigo_a,codigo_b,establecimiento_a,establecimiento_b,score_nombre,score_direccion,mismo_telefono,misma_jornada,mismo_plan
12-29-0031-46,12-29-0032-46,INSTITUTO TECNOLÓGICO PRIVADO MIXTO EVANGÉLICO SUNESIS,INSTITUTO TECNOLÓGICO PRIVADO MIXTO EVANGÉLICO SUNESIS,100.0,100.0,False,True,True
12-29-0034-46,12-29-0052-46,COLEGIO EVANGÉLICO TECNOLÓGICO PRIVADO MIXTO BERSHEBA BLESS GOD,COLEGIO EVANGELICO TECNOLOGICO PRIVADO MIXTO BERSHEBA BLESS GOD,100.0,100.0,True,True,True
12-29-0036-46,12-29-0037-46,COLEGIO EVANGÉLICO TECNOLÓGICO PRIVADO MIXTO BERSHEBA BLESS GOD,COLEGIO EVANGÉLICO TECNOLÓGICO PRIVADO MIXTO BERSHEBA BLESS GOD,100.0,100.0,True,True,True
12-29-0036-46,12-29-0054-46,COLEGIO EVANGÉLICO TECNOLÓGICO PRIVADO MIXTO BERSHEBA BLESS GOD,COLEGIO EVANGELCO TECNOLOGICO PRIVADO MIXTO BERSHEBA BLESS GOD,99.2,100.0,True,True,True
12-29-0037-46,12-29-0054-46,COLEGIO EVANGÉLICO TECNOLÓGICO PRIVADO MIXTO BERSHEBA BLESS GOD,COLEGIO EVANGELCO TECNOLOGICO PRIVADO MIXTO BERSHEBA BLESS GOD,99.2,100.0,True,True,True
12-01-0114-46,12-01-0153-46,COLEGIO DE ESTUDIOS TECNICOS ESPECIALIZADOS EN COMPUTACION CETESC,"COLEGIO DE ESTUDIOS TECNICOS ESPECIALIZADOS EN COMPUTACIÓN ""CETESC""",98.5,100.0,True,True,True
12-01-0115-46,12-01-0116-46,"COLEGIO PRIVADO URBANO MIXTO ""AMIGOS""","COLEGIO PRIVADO URBANO MIXTO ""AMIGOS""",100.0,80.0,False,True,True
12-01-0119-46,12-01-0199-46,"COLEGIO PARTICULAR MIXTO ""SAN ANTONIO""","COLEGIO PARTICULAR MIXTO ""SAN ANTONIO""",100.0,100.0,False,True,True
12-01-0144-46,12-01-0191-46,"COLEGIO PARTICULAR MIXTO ""JERUSALEM""","COLEGIO PARTICULAR MIXTO ""JERUSALEM""",100.0,97.7,False,True,True
12-01-0144-46,12-01-4653-46,"COLEGIO PARTICULAR MIXTO ""JERUSALEM""","COLEGIO PARTICULAR MIXTO ""JERUSALEM""",100.0,97.7,True,True,True
12-01-0167-46,12-01-0176-46,COLEGIO MIXTO EVANGÉLICO CASA DE JEHOVÁ,"COLEGIO MIXTO EVANGÉLICO ""CASA DE JEHOVÁ""",97.5,97.8,True,True,True
12-01-0170-46,12-01-0171-46,"COLEGIO BILINGÜE ""ADVANCE""","COLEGIO BILINGÜE ""ADVANCE""",100.0,100.0,True,True,True
12-01-0180-46,12-01-0186-46,"COLEGIO PARTICULAR MIXTO ""JERUSALEM""","COLEGIO PARTICULAR MIXTO ""JERUSALEM""",100.0,100.0,False,True,True
12-01-0191-46,12-01-4653-46,"COLEGIO PARTICULAR MIXTO ""JERUSALEM""","COLEGIO PARTICULAR MIXTO ""JERUSALEM""",100.0,100.0,False,True,True
12-19-0055-46,12-19-0058-46,COLEGIO DE INFORMATICA AURELIO BALDOR -CIAB-,COLEGIO DE INFORMATICA AURELIO BALDOR -CIAB-,100.0,100.0,True,True,True
12-19-0101-46,12-19-0125-46,COLEGIO MIXTO LICEO ORIZABA,COLEGIO MIXTO LICEO ORIZABA,100.0,100.0,True,True,True
12-02-0131-46,12-02-4727-46,"INSTITUTO PARTICULAR MIXTO ""MINERVA""","INSTITUTO PARTICULAR MIXTO ""MINERVA""",100.0,100.0,True,True,True
12-02-0134-46,12-02-0141-46,COLEGIO PRIVADO URBANO MIXTO DE ESTUDIOS AVANZADOS CESC,COLEGIO PRIVADO URBANO MIXTO DE ESTUDIOS AVANZADOS CESC,100.0,100.0,True,True,True
